1:1	Adam|the-man Seth|Seth Enos|Enosh
24:1	Aber|but dies|this waren|were die|the Ordnungen|course der|the Kinder|old Aaron|[Aaron] Die|the Kinder|old Aarons|[Aarons] waren|were Nadab|Nadab Abihu|[Abihu] Eleasar|[Eleasar] und|and Ithamar|[Ithamar]
24:2	Aber|but Nadab|Nadab und|and Abihu|[Abihu] starben|die vor|face ihrem|her Vater|father und|and hatten|be thou keine|not Kinder|old Und|and Eleasar|[Eleasar] und|and Ithamar|[Ithamar] wurden|were Priester|decketh
24:3	Und|and es|it ordneten|divide sie|they David|David und|and Zadok|Zadok aus|stringed instrument den|the Kinder|old Eleasars|[Eleasars] und|and Ahimelech|[Ahimelech] aus|stringed instrument den|the Kindern|old Ithamars|[Ithamars] nach|after ihrer|their Zahl|visitation und|and ihrem|her Amt|service
24:4	Und|and wurden|were der|the Kinder|old Eleasars|[Eleasars] mehr|many gefunden|find an|to Häuptern|head der|the Männer|man denn|stringed instrument der|the Kinder|old Ithamars|[Ithamars] Und|and er|he ordnete|divide sie|they also|so sechzehn|six aus|from den|the Kindern|old Eleasars|[Eleasars] zu|to Obersten|head ihrer|their Vaterhäuser|[Vaterhäuser] und|and acht|eight aus|from den|the Kindern|old Ithamars|[Ithamars] nach|after ihren|their Vaterhäusern|[Vaterhäusern]
24:5	Er|he ordnete|divide sie|they aber|but durchs|through-the Los|lot darum|therefore daß|and beide|both aus|stringed instrument Eleasars|[Eleasars] und|and Ithamars|[Ithamars] Kindern|old Oberste|prince waren|be thou im|in-the Heiligtum|holy und|and Oberste|prince vor|before Gott|God
24:6	Und|and der|the Schreiber|scribe Semaja|Shemaiah der|the Sohn|old Nathanaels|Nethaneel aus|stringed instrument den|the Leviten|Levite schrieb|[schrieb] sie|they auf|write vor|face dem|the König|royal und|and vor|before den|the Obersten|prince und|and vor|before Zadok|Zadok dem|the Priester|priest und|and vor|before Ahimelech|[Ahimelech] dem|the Sohn|old Abjathars|[Abjathars] und|and vor|before den|the Obersten|battle der|the Vaterhäuser|[Vaterhäuser] unter|under den|the Priestern|priest und|and Leviten|Levite nämlich|namely je|two ein|a Vaterhaus|[Vaterhaus] für|for Eleasar|[Eleasar] und|and das|the andere|other für|for Ithamar|[Ithamar]
24:7	Das|the erste|first Los|lot fiel|fell auf|bring Jojarib|[Jojarib] das|the zweite|second auf|on Jedaja|Jedaiah
24:8	das|the dritte|third auf|on Harim|Harim das|the vierte|fourth auf|on Seorim|[Seorim]
24:9	das|the fünfte|fifth auf|on Malchia|Malchiah das|the sechste|sixth auf|on Mijamin|Mijamin
24:10	das|the siebente|seventh auf|on Hakkoz|Koz das|the achte|eighth auf|on Abia|[Abia]
24:11	das|the neunte|ninth auf|on Jesua|Jeshua das|the zehnte|tenth auf|on Sechanja|Shechaniah
24:12	das|the elfte|bright auf|on Eljasib|[Eljasib] das|the zwölfte|two auf|on Jakim|[Jakim]
24:13	das|the dreizehnte|three auf|on Huppa|[Huppa] das|the vierzehnte|[vierzehnte] auf|on Jesebeab|[Jesebeab]
24:14	das|the fünfzehnte|five auf|on Bilga|Bilgah das|the sechzehnte|six auf|on Immer|continually
24:15	das|the siebzehnte|seven auf|on Hefir|[Hefir] das|the achtzehnte|eight auf|on Hapizzez|[Hapizzez]
24:16	das|the neunzehnte|nine auf|on Pethaja|Pethahiah das|the zwanzigste|twenty auf|on Jeheskel|Ezekiel
24:17	das|the einundzwanzigste|[einundzwanzigste] auf|on Jachin|Jachin das|the zweiundzwanzigste|two auf|on Gamul|[Gamul]
24:18	das|the dreiundzwanzigste|three auf|on Delaja|Delaiah das|the vierundzwanzigste|[vierundzwanzigste] auf|on Maasja|Maaziah
24:19	Das|the ist|is die|the Ordnung|visitation nach|after ihrem|her Amt|service zu|to gehen|go in|in das|the Haus|household des|of-the HERRN|GOD nach|after ihrer|their Weise|judgment unter|by ihrem|her Vater|father Aaron|[Aaron] wie|as ihm|him der|the HERR|GOD der|the Gott|God Israels|Israelites geboten|commanded hat|command
24:20	Aber|but unter|under den|the andern|leave Kindern|old Levi|Levi war|was unter|under den|the Kindern|old Amrams|Amram Subael|[Subael] Unter|under den|the Kindern|old Subaels|[Subaels] war|was Jehdeja|[Jehdeja]
24:21	Unter|under den|the Kindern|old Rehabjas|[Rehabjas] war|was der|the erste|head Jissia|Isshiah
24:22	Aber|but unter|under den|the Jizharitern|Izharites war|was Selomoth|[Selomoth] Unter|under den|the Kindern|old Selomoths|[Selomoths] war|was Jahath|[Jahath]
24:23	Die|the Kinder|old Hebrons|[Hebrons] waren|were Jeria|[Jeria] der|the erste|first Amarja|[Amarja] der|the zweite|second Jahasiel|Jahaziel der|the dritte|third Jakmeam|[Jakmeam] der|the vierte|fourth
24:24	Die|the Kinder|old Usiels|Uzziel waren|were Micha|Micah Unter|under den|the Kindern|old Michas|Micah war|was Samir|[Samir]
24:25	Der|the Bruder|brother Michas|Micah war|was Jissia|Isshiah Unter|under den|the Kindern|old Jissias|Isshiah war|was Sacharja|Zachariah
24:26	Die|the Kinder|old Meraris|Merari waren|were Maheli|Mahli und|and Musi|Mushi die|the Kinder|old Jaesias|[Jaesias] seines|his Sohnes|old
24:27	Die|the Kinder|old Meraris|Merari von|from Jaesia|[Jaesia] seinem|his Sohn|old waren|were Soham|[Soham] Sakkur|Zaccur und|and Ibri|[Ibri]
24:28	Maheli|Mahli aber|but hatte|had Eleasar|[Eleasar] der|the hatte|be thou keine|not Söhne|old
24:29	Von|from Kis|Kish unter|under den|the Kindern|old des|of-the Kis|Kish war|was Jerahmeel|Jerahmeel
24:30	Die|the Kinder|old Musis|Mushi waren|were Maheli|Mahli Eder|Eder und|and Jeremoth|Jerimoth Das|the sind|are die|the Kinder|old der|the Leviten|Levite nach|after ihren|their Vaterhäusern|[Vaterhäusern]
24:31	Und|and man|walk warf|fall für|for sie|they auch|also das|the Los|lot neben|against ihren|their Brüdern|brothers den|the Kindern|old Aaron|[Aaron] vor|face dem|the König|royal David|David und|and Zadok|Zadok und|and Ahimelech|[Ahimelech] und|and vor|before den|the Obersten|head der|the Vaterhäuser|[Vaterhäuser] unter|under den|the Priestern|priest und|and Leviten|Levite für|against den|the jüngsten|small Bruder|brother ebensowohl|[ebensowohl] als|when für|for den|the Obersten|head in|in den|the Vaterhäusern|[Vaterhäusern]
25:1	Und|and David|David samt|along-with den|the Feldhauptleuten|host sonderten|[sonderten] ab|his-last zu|to Ämtern|service die|the Kinder|old Asaphs|[Asaphs] Hemans|Heman und|and Jedithuns|Jeduthun die|the Propheten|prophesy mit|with Harfen|harp Psaltern|psalteries und|and Zimbeln|cymbal und|and sie|they wurden|be thou gezählt|number zum|as-a Werk|work nach|after ihrem|her Amt|service
25:2	Unter|under den|the Kindern|old Asaphs|[Asaphs] waren|were Sakkur|Zaccur Joseph|Joseph Nethanja|Nethaniah Asarela|[Asarela] Kinder|old Asaph|[Asaph] unter|above Asaph|[Asaph] der|the da|then weissagte|by bei|above dem|the König|royal
25:3	Von|from Jedithun|Jeduthun die|the Kinder|old Jedithuns|Jeduthun waren|were Gedalja|Gedaliah Sori|[Sori] Jesaja|Isaiah Hasabja|Hashabiah Matthithja|Mattithiah Simei|[Simei] die|the sechs|six unter|above ihrem|her Vater|father Jedithun|Jeduthun mit|with Harfen|harp der|the da|then weissagte|prophesy zu|to danken|praise und|and zu|to loben|praise den|the HERRN|GOD
25:4	Von|from Heman|Heman die|the Kinder|old Hemans|Heman waren|were Bukkia|[Bukkia] Matthanja|Mattaniah Usiel|Uzziel Sebuel|[Sebuel] Jerimoth|Jerimoth Hananja|Hananiah Hanani|Hanani Eliatha|[Eliatha] Giddalthi|[Giddalthi] Romamthi-|[Romamthi-] Eser|[Eser] Josbekasa|[Josbekasa] Mallothi|[Mallothi] Hothir|[Hothir] und|and Mahesioth|[Mahesioth]
25:5	Diese|these waren|were alle|all (manner Kinder|old Hemans|Heman des|of-the Sehers|seer des|of-the Königs|royal in|in den|the Worten|word Gottes|of-God das|the Horn|horn zu|to erheben|exalt denn|for Gott|God hatte|had Heman|Heman vierzehn|fourteen Söhne|old und|and drei|three Töchter|daughter gegeben|put
25:6	Diese|these waren|were alle|all (manner unter|above ihren|their Vätern|fathers Asaph|[Asaph] Jedithun|Jeduthun und|and Heman|Heman zu|to singen|song im|in-the Hause|household des|of-the HERRN|GOD mit|with Zimbeln|cymbal Psaltern|psalteries und|and Harfen|harp nach|after dem|the Amt|service im|in-the Hause|household Gottes|of-God bei|above dem|the König|by
25:7	Und|and es|it war|was ihre|their Zahl|number samt|hide ihren|their Brüdern|brothers die|the im|in-the Gesang|song des|of-the HERRN|GOD gelehrt|[gelehrt] waren|teach allesamt|all (manner Meister|forger zweihundertachtundachtzig|hundred
25:8	Und|and sie|they warfen|fall das|the Los|lot über|over ihre|their Ämter|charge zugleich|against dem|the Jüngeren|small wie|as dem|the Älteren|great dem|the Lehrer|[Lehrer] wie|hide dem|the Schüler|[Schüler]
25:9	Und|and das|the erste|first Los|lot fiel|fell unter|bring Asaph|[Asaph] auf|on Joseph|Joseph Das|the zweite|second auf|on Gedalja|Gedaliah samt|along-with seinen|his Brüdern|brothers und|and Söhnen|old derer|[derer] waren|were zwölf|two
25:10	Das|the dritte|third auf|on Sakkur|Zaccur samt|along-with seine|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:11	Das|the vierte|fourth auf|on Jizri|[Jizri] samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:12	Das|the fünfte|fifth auf|on Nethanja|Nethaniah samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:13	Das|the sechste|sixth auf|on Bukkia|[Bukkia] samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:14	Das|the siebente|seventh auf|on Jesarela|[Jesarela] samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:15	Das|the achte|eighth auf|on Jesaja|Isaiah samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:16	Das|the neunte|ninth auf|on Matthanja|Mattaniah samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:17	Das|the zehnte|tenth auf|on Simei|Shimei samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:18	Das|the elfte|bright auf|on Asareel|Azareel samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:19	Das|the zwölfte|two auf|on Hasabja|Hashabiah samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:20	Das|the dreizehnte|three auf|on Subael|[Subael] samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:21	Das|the vierzehnte|[vierzehnte] auf|on Matthithja|Mattithiah samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:22	Das|the fünfzehnte|five auf|on Jeremoth|Jerimoth samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:23	Das|the sechzehnte|six auf|on Hanaja|Hananiah samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:24	Das|the siebzehnte|seven auf|on Josbekasa|[Josbekasa] samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:25	Das|the achtzehnte|eight auf|on Hanani|Hanani samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:26	Das|the neunzehnte|nine auf|on Mallothi|[Mallothi] samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:27	Das|the zwanzigste|twenty auf|on Eliatha|[Eliatha] samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:28	Das|the einundzwanzigste|[einundzwanzigste] auf|on Hothir|[Hothir] samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:29	Das|the zweiundzwanzigste|two auf|on Giddalthi|[Giddalthi] samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:30	Das|the dreiundzwanzigste|three auf|on Mahesioth|[Mahesioth] samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
25:31	Das|the vierundzwanzigste|[vierundzwanzigste] auf|on Romamthi-|[Romamthi-] Eser|[Eser] samt|along-with seinen|his Söhnen|old und|and Brüdern|brothers derer|[derer] waren|were zwölf|two
26:1	Von|from den|the Ordnungen|course der|the Torhüter|porter Unter|under den|the Korahitern|Korhites war|was Meselemja|[Meselemja] der|the Sohn|old Kores|[Kores] aus|stringed instrument den|the Kindern|old Asaph|[Asaph]
26:2	Die|the Kinder|old Meselemjas|[Meselemjas] waren|were diese|these der|the Erstgeborene|firstborn Sacharja|Zachariah der|the zweite|second Jediael|[Jediael] der|the dritte|third Sebadja|Zebadiah der|the vierte|fourth Jathniel|[Jathniel]
26:3	der|the fünfte|fifth Elam|Elam der|the sechste|sixth Johanan|Jehohanan der|the siebente|seventh Eljoenai|[Eljoenai]
26:4	Die|the Kinder|old aber|but Obed-|[Obed-] Edoms|of-Edom waren|were diese|these der|the Erstgeborene|firstborn Semaja|Shemaiah der|the zweite|second Josabad|[Josabad] der|the dritte|third Joah|Joah der|the vierte|fourth Sachar|[Sachar] der|the fünfte|fifth Nathanael|Nethaneel
26:5	der|the sechste|sixth Ammiel|Ammiel der|the siebente|seventh Isaschar|Issachar der|the achte|eighth Pegulthai|[Pegulthai] denn|and Gott|God hatte|had ihn|him gesegnet|bless
26:6	Und|and seinem|his Sohn|old Semaja|Shemaiah wurden|were auch|also Söhne|old geboren|beget die|the im|in-the Hause|household ihres|her Vaters|father's herrschten|dominion denn|and es|walk waren|were tüchtige|army Leute|mighty
26:7	So|then waren|were nun|now die|the Kinder|old Semajas|Shemaiah Othni|[Othni] Rephael|[Rephael] Obed|Obed und|and Elsabad|[Elsabad] dessen|[dessen] Brüder|brothers tüchtige|army Leute|old waren|were Elihu|[Elihu] und|and Samachja|[Samachja]
26:8	Diese|these waren|were alle|all (manner aus|stringed instrument den|the Kindern|old Obed-|[Obed-] Edoms|of-Edom sie|walk samt|along-with ihren|their Kindern|old und|and Brüdern|brothers tüchtige|army Leute|men geschickt|strength zu|to Ämtern|service waren|were zweiundsechzig|two von|from Obed-|[Obed-] Edom|Edom
26:9	Meselemja|[Meselemja] hatte|had Kinder|old und|and Brüder|brothers tüchtige|army Männer|old achtzehn|eight
26:10	Hosa|Hosah aber|but aus|stringed instrument den|the Kindern|old Meraris|Merari hatte|had Kinder|old den|the Vornehmsten|head Simri|[Simri] denn|and der|the Erstgeborene|firstborn war|be thou er|he nicht|not aber|but sein|his Vater|father setzte|put ihn|him zum|as-a Vornehmsten|head
26:11	den|the zweiten|second Hilkia|Hilkiah den|the dritten|third Tebalja|[Tebalja] den|the vierten|fourth Sacharja|Zachariah Aller|all (manner Kinder|old und|and Brüder|brothers Hosas|Hosah waren|were dreizehn|three
26:12	Dies|this sind|are die|the Ordnungen|course der|the Torhüter|porter nach|after den|the Häuptern|head der|the Männer|man im|in-the Amt|charge neben|against ihren|their Brüdern|brothers zu|to dienen|serve im|in-the Hause|household des|of-the HERRN|GOD
26:13	Und|and das|the Los|lot ward|was geworfen|fall dem|the Jüngeren|small wie|as dem|the Älteren|great unter|under ihren|their Vaterhäusern|[Vaterhäusern] zu|to einem|a jeglichen|one Tor|gate
26:14	Das|the Los|lot gegen|toward Morgen|east fiel|fall auf|on Meselemja|Shelemiah aber|but sein|his Sohn|old war|was Sacharja|Zachariah der|the ein|a kluger|understanding Rat|counsel war|was warf|put man|fall auch|also das|the Los|lot und|and es|lot fiel|bring ihm|him gegen|toward Mitternacht|north
26:15	Obed-|[Obed-] Edom|Edom aber|but gegen|toward Mittag|south und|and seinen|his Söhnen|old bei|with dem|the Vorratshause|[Vorratshause]
26:16	und|and Suppim|[Suppim] und|and Hosa|Hosah gegen|toward Abend|west bei|hide dem|the Tor|gate Salecheth|[Salecheth] da|then man|one die|the Straße|highway hinaufgeht|offer da|then eine|a Hut|ward neben|against der|the andern|ward steht|is
26:17	Gegen|toward Morgen|east waren|were der|the Leviten|Levite sechs|six gegen|toward Mitternacht|north des|of-the Tages|time vier|four gegen|toward Mittag|south des|of-the Tages|time vier|four bei|with dem|the Vorratshause|[Vorratshause] aber|but je|two zwei|two und|and zwei|two
26:18	am|on-the Parbar|[Parbar] aber|but gegen|toward Abend|west vier|four an|to der|the Straße|highway und|and zwei|two am|on-the Parbar|[Parbar]
26:19	Dies|this sind|are die|the Ordnungen|course der|the Torhüter|porter unter|under den|the Kindern|old der|the Korahiter|Korhites und|and den|the Kindern|old Merari|Merari
26:20	Von|from den|the Leviten|Levite aber|but war|was Ahia|[Ahia] über|above die|the Schätze|[Schätze] des|of-the Hauses|household Gottes|of-God und|and über|over die|the Schätze|[Schätze] die|the geheiligt|[geheiligt] wurden|holy
26:21	Von|from den|the Kindern|old Laedan|[Laedan] den|the Kindern|old des|of-the Gersoniten|Gershonite Laedan|[Laedan] waren|were Häupter|head der|the Vaterhäuser|[Vaterhäuser] die|the Jehieliten|[Jehieliten]
26:22	Die|the Kinder|old der|the Jehieliten|[Jehieliten] waren|were Setham|[Setham] und|and sein|his Bruder|brother Joel|Joel über|above die|the Schätze|[Schätze] des|of-the Hauses|household des|of-the HERRN|GOD
26:23	Unter|under den|the Amramiten|Amramites Jizhariten|Izharites Hebroniten|Hebronites und|and Usieliten|Uzzielites
26:24	war|was Sebuel|[Sebuel] der|the Sohn|old Gersoms|Gershom des|of-the Sohnes|old Mose|[Mose] s|Moses Fürst|ruler über|above die|the Schätze|[Schätze]
26:25	Aber|but sein|his Bruder|brother Elieser|Eliezer hatte|had einen|a Sohn|old Rehabja|[Rehabja] des|of-the Sohn|old war|was Jesaja|Isaiah des|of-the Sohn|old war|was Joram|[Joram] des|of-the Sohn|old war|was Sichri|Zichri des|of-the Sohn|old war|was Selomith|Shelomith
26:26	Derselbe|he Selomith|[Selomith] und|and seine|his Brüder|brothers waren|were über|above alle|all (manner Schätze|[Schätze] des|of-the Geheiligten|holy welches|in-the geheiligt|[geheiligt] hatte|sanctify der|the König|royal David|David und|and die|the Häupter|head der|the Vaterhäuser|[Vaterhäuser] die|the Obersten|prince über|over tausend|thousand und|and über|over hundert|hundred und|and die|the Obersten|prince im|in-the Heer|host
26:27	Von|stringed instrument Krieg|war und|stringed instrument Raub|spoil hatten|had sie|they es|it geheiligt|sanctify zu|to bessern|strong das|the Haus|household des|of-the HERRN|GOD
26:28	Auch|also alles|all (manner was|what Samuel|Samuel der|the Seher|see und|and Saul|Saul der|the Sohn|old des|of-the Kis|Kish und|and Abner|[Abner] der|the Sohn|old des|of-the Ners|[Ners] und|and Joab|Joab der|the Zeruja|[Zeruja] Sohn|old geheiligt|[geheiligt] hatten|sanctify alles|all (manner Geheiligte|sanctify war|was unter|above der|the Hand|by Selomiths|Shelomith und|and seiner|his Brüder|brothers
26:29	Unter|under den|the Jizhariten|Izharites waren|were Chenanja|[Chenanja] und|and seine|his Söhne|old zum|as-a Werk|work draußen|utter über|above Israel|Israelites Amtleute|officers und|and Richter|plead
26:30	Unter|under den|the Hebroniten|Hebronites aber|but waren|were Hasabja|Hashabiah und|and seine|his Brüder|brothers tüchtige|army Leute|old tausend|thousand und|and siebenhundert|seven über|above die|the Ämter|visitation Israels|Israelites diesseits|stringed instrument des|of-the Jordans|Jordan gegen|toward Abend|west zu|to allerlei|all (manner Geschäft|work des|of-the HERRN|GOD und|and zu|to dienen|service dem|the König|royal
26:31	Unter|under den|the Hebroniten|Hebronites war|was Jeria|[Jeria] der|the Vornehmste|head unter|under den|the Hebroniten|Hebronites seines|his Geschlechts|generations unter|under den|the Vaterhäusern|[Vaterhäusern] es|it wurden|were aber|but unter|under ihnen|them gesucht|seek und|and gefunden|find im|in-the vierzigsten|[vierzigsten] Jahr|year des|of-the Königreiches|kingdom Davids|David tüchtige|army Männer|mighty zu|to Jaser|Jazer in|in Gilead|Gilead
26:32	und|and seine|his Brüder|brothers tüchtige|army Männer|old zweitausend|[zweitausend] und|and siebenhundert|seven Oberste|head der|the Vaterhäuser|[Vaterhäuser] Und|and David|royal setzte|number sie|they über|above die|the Rubeniter|Reubenite Gaditer|Gadite und|and den|the halben|half Stamm|tribe Manasse|Manasseh zu|to allen|all (manner Händeln|word Gottes|of-God und|and des|word Königs|royal
27:1	Dies|this sind|are aber|but die|the Kinder|old Israel|Israelites nach|after ihrer|their Zahl|number die|the Häupter|head der|the Vaterhäuser|[Vaterhäuser] und|and die|the Obersten|prince über|over tausend|thousand und|and über|over hundert|hundred und|and ihre|their Amtleute|officers die|the dem|the König|royal dienten|serve nach|after ihren|all (manner Ordnungen|course die|the ab|his-last und|and zu|bring zogen|went einen|a jeglichen|month Monat|month eine|a in|in allen|all (manner Monaten|month des|of-the Jahres|year Eine|a jegliche|each Ordnung|course aber|but hatte|had vierundzwanzigtausend|[vierundzwanzigtausend]
27:2	Über|above die|the erste|first Ordnung|course des|of-the ersten|first Monats|month war|was Jasobeam|[Jasobeam] der|the Sohn|old Sabdiels|Zabdiel und|and unter|above seiner|his Ordnung|course waren|were vierundzwanzigtausend|[vierundzwanzigtausend]
27:3	Er|he war|was aus|stringed instrument den|the Kinder|old Perez|Pharez und|and war|was der|the Oberste|head über|over alle|all (manner Hauptleute|prince der|the Heere|host im|in-the ersten|first Monat|month
27:4	Über|above die|the Ordnung|course des|of-the zweiten|second Monats|month war|was Dodai|[Dodai] der|the Ahohiter|[Ahohiter] und|and Mikloth|[Mikloth] war|was Fürst|ruler über|over seine|his Ordnung|course und|and unter|above seiner|his Ordnung|course waren|were vierundzwanzigtausend|[vierundzwanzigtausend]
27:5	Der|the dritte|third Feldhauptmann|host des|of-the dritten|third Monats|month der|the Oberste|head war|was Benaja|Benaiah der|the Sohn|old Jojadas|Jehoiada des|of-the Priesters|priest und|and unter|above seiner|his Ordnung|course waren|were vierundzwanzigtausend|[vierundzwanzigtausend]
27:6	Das|he ist|is Benaja|Benaiah der|the Held|mighty unter|under den|the dreißigen|thirty und|and über|above die|the dreißig|thirty und|and seine|his Ordnung|course war|was unter|under seinem|his Sohn|old Ammisabad|[Ammisabad]
27:7	Der|the vierte|fourth im|in-the vierten|fourth Monat|month war|was Asahel|Asahel Joabs|Joab Bruder|brother und|and nach|after ihm|him Sebadja|Zebadiah sein|his Sohn|old und|and unter|above seiner|his Ordnung|course waren|were vierundzwanzigtausend|[vierundzwanzigtausend]
27:8	Der|the fünfte|fifth im|in-the fünften|fifth Monat|month war|was Samehuth|[Samehuth] der|the Jishariter|[Jishariter] und|and unter|above seine|his Ordnung|course waren|were vierundzwanzigtausend|[vierundzwanzigtausend]
27:9	Der|the sechste|sixth im|in-the sechsten|sixth Monat|month war|was Ira|[Ira] der|the Sohn|old des|of-the Ikkes|[Ikkes] der|the Thekoiter|Tekoite und|and unter|above seiner|his Ordnung|course waren|were vierundzwanzigtausend|[vierundzwanzigtausend]
27:10	Der|the siebente|seventh im|in-the siebenten|seventh Monat|month war|was Helez|[Helez] der|the Peloniter|[Peloniter] aus|stringed instrument den|the Kindern|old Ephraim|Ephraim und|and unter|above seiner|his Ordnung|course waren|were vierundzwanzigtausend|[vierundzwanzigtausend]
27:11	Der|the achte|eighth im|in-the achten|eighth Monat|month war|was Sibbechai|[Sibbechai] der|the Husathiter|[Husathiter] aus|from den|the Serahitern|Zarhites und|and unter|above seiner|his Ordnung|course waren|were vierundzwanzigtausend|[vierundzwanzigtausend]
27:12	Der|the neunte|ninth im|in-the neunten|ninth Monat|month war|was Abieser|[Abieser] der|the Anathothiter|Anethothite aus|from den|the Benjaminitern|Benjamite und|and unter|above seiner|his Ordnung|course waren|were vierundzwanzigtausend|[vierundzwanzigtausend]
27:13	Der|the zehnte|tenth im|in-the zehnten|tenth Monat|month war|was Maherai|[Maherai] der|the Netophathiter|Netophathite aus|from den|the Serahitern|Zarhites und|and unter|above seiner|his Ordnung|course waren|were vierundzwanzigtausend|[vierundzwanzigtausend]
27:14	Der|the elfte|bright im|in-the elften|bright Monat|month war|was Benaja|Benaiah der|the Pirathoniter|Pirathonite aus|stringed instrument den|the Kindern|old Ephraim|Ephraim und|and unter|above seiner|his Ordnung|course waren|were vierundzwanzigtausend|[vierundzwanzigtausend]
27:15	Der|the zwölfte|two im|in-the zwölften|two Monat|month war|was Heldai|Heldai der|the Netophathiter|Netophathite aus|from Othniel|Othniel und|and unter|above seiner|his Ordnung|course waren|were vierundzwanzigtausend|[vierundzwanzigtausend]
27:16	Über|above die|the Stämme|tribe Israels|Israelites aber|but waren|were diese|these unter|under den|the Rubenitern|Reubenite war|was Fürst|ruler Elieser|Eliezer der|the Sohn|old Sichris|Zichri unter|under den|the Simeonitern|Simeonite war|was Sephatja|Shephatiah der|the Sohn|old Maachas|Maachah
27:17	unter|under den|the Leviten|Levite war|was Hasabja|Hashabiah der|the Sohn|old Kemuels|Kemuel unter|under den|the Aaroniten|[Aaroniten] war|was Zadok|Zadok
27:18	unter|under Juda|Judah war|was Elihu|[Elihu] aus|stringed instrument den|the Brüdern|brothers Davids|David unter|under Isaschar|Issachar war|was Omri|Omri der|the Sohn|old Michaels|Michael
27:19	unter|under Sebulon|Zebulun war|was Jismaja|[Jismaja] der|the Sohn|old Obadjas|Obadiah unter|under Naphthali|Naphtali war|was Jeremoth|Jerimoth der|the Sohn|old Asriels|Azriel
27:20	unter|under den|the Kindern|old Ephraim|Ephraim war|was Hosea|Hoshea der|the Sohn|old Asasjas|[Asasjas] unter|under dem|the halben|half Stamm|tribe Manasse|Manasseh war|was Joel|Joel der|the Sohn|old Pedajas|Pedaiah
27:21	unter|under dem|the halben|half Stamm|[Stamm] Manasse|Manasseh in|in Gilead|Gilead war|was Iddo|Iddo der|the Sohn|old Sacharjas|Zachariah unter|under Benjamin|Benjamin war|was Jaesiel|[Jaesiel] der|the Sohn|old Abners|[Abners]
27:22	unter|under Dan|Dan war|was Asareel|Azareel der|the Sohn|old Jerohams|Jeroham Das|the sind|are die|the Fürsten|prince der|the Stämme|tribe Israels|Israelites
27:23	Aber|but David|David nahm|bear nicht|not die|the Zahl|number derer|[derer] die|the von|from zwanzig|twenty Jahren|year und|and darunter|beneath waren|were denn|and der|the HERR|GOD hatte|had verheißen|promised Israel|Israelites zu|to mehren|multiply wie|as die|the Sterne|star am|on-the Himmel|heaven
27:24	Joab|Joab aber|but der|the Zeruja|[Zeruja] Sohn|old der|the hatte|had angefangen|begin zu|to zählen|number und|and vollendete|consume es|it nicht|not denn|for es|it kam|be thou darum|hereby (-in ein|a Zorn|wrath über|above Israel|Israelites Darum|therefore kam|offer die|the Zahl|number nicht|not in|in die|the Chronik|word des|of-the Königs|royal David|David
27:25	Über|above den|the Schatz|treasure des|of-the Königs|royal war|was Asmaveth|Azmaveth der|the Sohn|old Abdiels|[Abdiels] und|and über|over die|the Schätze|[Schätze] auf|on dem|the Lande|field in|in Städten|town Dörfern|[Dörfern] und|and Türmen|tower war|was Jonathan|Jonathan der|the Sohn|old Usias|Uzziah
27:26	Über|above die|the Ackerleute|work das|the Land|service zu|to bauen|make war|was Esri|[Esri] der|the Sohn|old Chelubs|[Chelubs]
