1:1	Paulus|Paul ein|a Knecht|servant Jesu|Jesus Christi|Christ berufen|called zum|as-a Apostel|[Apostel] ausgesondert|[ausgesondert] zu|into predigen|call das|the Evangelium|gospel Gottes|god
13:9	Denn|and was|what da|then gesagt|said ist|is “Du|[“Du] sollst|commit adultery nicht|no ehebrechen|commit adultery du|you sollst|kill nicht|no töten|kill du|you sollst|steal nicht|no stehlen|steal du|you sollst|be a false witness nicht|no falsch|[falsch] Zeugnis|witness geben|be a false witness dich|you soll|desire nichts|no gelüsten|desire ”|[”] und|also so|then ein|whosoever anderes|another Gebot|commandment mehr|more ist|is das|the wird|will in|by diesen|this Worten|word zusammengefaßt|[zusammengefaßt] “Du|[“Du] sollst|shall deinen|thy Nächsten|neighbour lieben|[lieben] wie|as dich|you selbst|himself ”|[”]
13:10	Denn|for Liebe|my tut|work dem|the Nächsten|neighbour nichts|no Böses|evil So|then ist|is nun|therefore die|the Liebe|my des|of-the Gesetzes|law Erfüllung|fulness
13:11	Und|also weil|because wir|we solches|this wissen|know nämlich|namely die|the Zeit|time daß|that die|the Stunde|hour da|now ist|hour aufzustehen|us vom|of Schlaf|sleep sintemal|and unser|our Heil|salvation jetzt|now näher|nearer ist|is denn|or da|when wir|we gläubig|[gläubig] wurden|believe
13:12	die|the Nacht|night ist|is vorgerückt|increase der|the Tag|day aber|and nahe|near herbeigekommen|approach so|therefore lasset|leave uns|us ablegen|[ablegen] die|the Werke|work der|the Finsternis|darkness und|also anlegen|array die|the Waffen|weapon des|of-the Lichtes|light
13:13	Lasset|walk uns|us ehrbar|honestly wandeln|walk als|as am|by Tage|day nicht|not in|in Fressen|revelling und|also Saufen|drunkenness nicht|not in|in Kammern|bed und|also Unzucht|[Unzucht] nicht|not in|in Hader|strife und|also Neid|zeal
13:14	sondern|but ziehet|[ziehet] an|array den|the HERRN|Lord Jesus|Jesus Christus|Christ und|also wartet|do des|of-the Leibes|flesh doch|please also|so daß|into er|he nicht|not geil|lust werde|will
14:1	Den|the Schwachen|[Schwachen] im|in-the Glauben|faith nehmet|take auf|receive und|and verwirrt|thought die|the Gewissen|discerning nicht|not
14:2	Einer|which glaubt|believe er|he möge|eat allerlei|all essen|eat welcher|which aber|and schwach|[schwach] ist|is der|the ißt|eat Kraut|herb
14:3	Welcher|which ißt|eat der|the verachte|despise den|the nicht|not der|the da|then nicht|not ißt|eat und|also welcher|which nicht|not ißt|eat der|the richte|judge den|the nicht|not der|the da|then ißt|eat denn|and Gott|god hat|receive ihn|him aufgenommen|receive
14:4	Wer|what bist|be du|thou daß|that du|you einen|a fremden|foreigners Knecht|servant richtest|judge Er|he steht|stand oder|or fällt|fall seinem|privately HERRN|Lord Er|he mag|stand aber|and wohl|well aufgerichtet|set-up werden|stand denn|and Gott|god kann|is ihn|him wohl|well aufrichten|stand
14:5	Einer|indeed hält|judge einen|a Tag|day vor|of dem|the andern|day der|the andere|which aber|and hält|judge alle|all Tage|day gleich|like Ein|a jeglicher|every sei|most surely believe in|by seiner|privately Meinung|mind gewiß|most surely believe
14:6	Welcher|which auf|think die|the Tage|day hält|think der|the tut|do s|think dem|the HERRN|Lord und|also welcher|which nichts|not darauf|day hält|think der|the tut|do s|think auch|no dem|the HERRN|Lord Welcher|which ißt|eat der|the ißt|eat dem|the HERRN|Lord denn|and er|he dankt|thank Gott|god welcher|which nicht|not ißt|eat der|the ißt|eat dem|the HERRN|Lord nicht|no und|also dankt|thank Gott|god
14:7	Denn|and unser|our keiner|nothing lebt|live sich|himself selber|himself und|also keiner|nothing stirbt|die sich|himself selber|himself
14:8	Leben|live wir|we so|if leben|live wir|we dem|the HERRN|Lord sterben|die wir|we so|if sterben|die wir|we dem|the HERRN|Lord Darum|therefore wir|we leben|live oder|if sterben|die so|if sind|are wir|we des|of-the HERRN|Lord
14:9	Denn|and dazu|into ist|is Christus|Christ auch|also gestorben|died und|also auferstanden|[auferstanden] und|also wieder|back lebendig|alive geworden|become daß|that er|also über|over Tote|dead und|also Lebendige|live HERR|LORD sei|lords
14:10	Du|you aber|and was|what richtest|judge du|thou deinen|thy Bruder|brother Oder|or du|you anderer|[anderer] was|what verachtest|despise du|thou deinen|thy Bruder|brother Wir|we werden|present alle|all vor|before den|the Richtstuhl|[Richtstuhl] Christi|Christ dargestellt|[dargestellt] werden|present
14:11	denn|and es|it steht|is geschrieben|write “So|[“So] wahr|true ich|I lebe|live spricht|speak der|the HERR|Lord mir|me sollen|bow alle|all Kniee|knee gebeugt|[gebeugt] werden|bow und|also alle|all Zungen|tongue sollen|confess Gott|god bekennen|confess ”|[”]
14:12	So|therefore wird|give nun|now ein|a jeglicher|every für|of sich|himself selbst|himself Gott|god Rechenschaft|word geben|give
14:13	Darum|therefore lasset|judge uns|us nicht|no mehr|more einer|one den|the andern|another richten|judge sondern|but das|this richtet|judge vielmehr|more daß|that niemand|not seinem|his Bruder|brother einen|a Anstoß|stumbling oder|or Ärgernis|offence darstelle|lay
14:14	Ich|I weiß|know und|also bin|am gewiß|persuade in|by dem|the HERRN|Lord Jesus|Jesus daß|that nichts|nothing gemein|common ist|is an|by sich|himself selbst|himself nur|but dem|the der|the es|certain rechnet|think für|be gemein|common dem|that ist|is s|[s] gemein|common
14:15	So|if aber|and dein|thy Bruder|brother um|by deiner|your Speise|meat willen|by betrübt|bitter wird|grieve so|yet wandelst|walk du|you schon|already nicht|after that nach|after der|the Liebe|my Verderbe|destroy den|that nicht|not mit|with deiner|thy Speise|meat um|for welches|which willen|for Christus|Christ gestorben|died ist|is
14:16	Darum|therefore schaffet|[schaffet] daß|that euer|your Schatz|treasure nicht|not verlästert|[verlästert] werde|will
14:17	Denn|and das|the Reich|rich Gottes|god ist|is nicht|no Essen|meat und|also Trinken|drink sondern|but Gerechtigkeit|righteousness und|also Friede|peace und|also Freude|joy in|by dem|the heiligen|[heiligen] Geiste|Spirit
14:18	Wer|and darin|by Christo|Christ dient|serve der|the ist|acceptably Gott|god gefällig|acceptably und|also den|the Menschen|man wert|approved
14:19	Darum|therefore laßt|persecute uns|us dem|the nachstreben|persecute was|what zum|as-a Frieden|peace dient|which und|also was|into zur|to-the Besserung|edifying untereinander|to-one-another dient|edifying
14:20	Verstöre|destroy nicht|not um|for der|the Speise|meat willen|for Gottes|god Werk|work Es|it ist|is zwar|indeed alles|all rein|pure aber|but es|it ist|is nicht|not gut|evil dem|the der|the es|it ißt|eat mit|by einem|a Anstoß|[Anstoß] seines|his Gewissens|stumbling
14:21	Es|it ist|is besser|good du|you essest|eat kein|not Fleisch|flesh und|neither trinkest|drink keinen|neither Wein|wine und|neither tust|do nichts|neither daran|by sich|himself dein|thy Bruder|brother stößt|stumble oder|or ärgert|offend oder|or schwach|[schwach] wird|will
14:22	Hast|have du|thou den|the Glauben|faith so|then habe|have ihn|him bei|after dir|you selbst|thyself vor|before Gott|god Selig|blessed ist|is der|the sich|himself selbst|himself kein|not Gewissen|[Gewissen] macht|judge in|by dem|which was|what er|he annimmt|prove
14:23	Wer|who aber|and darüber|over-it zweifelt|doubt und|if ißt|eat doch|please der|the ist|is verdammt|condemn denn|that es|it geht|goes nicht|no aus|of dem|the Glauben|faith Was|all aber|and nicht|no aus|of dem|the Glauben|faith geht|is das|the ist|is Sünde|sin
15:1	Wir|we aber|and die|the wir|we stark|strong sind|possible sollen|ought der|the Schwachen|[Schwachen] Gebrechlichkeit|[Gebrechlichkeit] tragen|bear und|also nicht|not gefallen|subsided an|to uns|us selber|himself haben|have
15:2	Es|and stelle|set sich|himself ein|a jeglicher|every unter|under uns|our also|so daß|that er|he seinem|his Nächsten|neighbour gefalle|[gefalle] zum|into Guten|good zur|unto Besserung|edifying
15:3	Denn|and auch|also Christus|Christ hatte|had nicht|no an|to sich|himself selber|himself Gefallen|subsided sondern|but wie|as geschrieben|[geschrieben] steht|write “Die|[“Die] Schmähungen|reproach derer|[derer] die|the dich|thee schmähen|upbraid sind|fall auf|on mich|me gefallen|fall ”|[”]
15:4	Was|whatsoever aber|and zuvor|former geschrieben|[geschrieben] ist|write das|the ist|write uns|our zur|into Lehre|doctrine geschrieben|write auf|on daß|that wir|we durch|by Geduld|patience und|also Trost|consolation der|the Schrift|scripture Hoffnung|hope haben|have
15:5	Der|the Gott|god aber|and der|the Geduld|patience und|also des|of-the Trostes|consolation gebe|give euch|you daß|that ihr|you einerlei|one gesinnt|think seid|are untereinander|by nach|after Jesu|Jesus Christo|Christ
15:6	auf|on daß|that ihr|you einmütig|with one accord mit|by einem|one Munde|mouth lobet|glorify Gott|god und|also den|the Vater|Father unseres|our HERRN|Lord Jesu|Jesus Christi|Christ
15:7	Darum|wherefore nehmet|receive euch|you untereinander|to-one-another auf|receive gleichwie|also euch|us Christus|Christ hat|has aufgenommen|receive zu|into Gottes|god Lobe|glory
15:8	Ich|I sage|speak aber|and daß|that Jesus|Jesus Christus|Christ sei|be ein|a Diener|servant gewesen|minister der|the Juden|circumcision um|for der|the Wahrhaftigkeit|[Wahrhaftigkeit] willen|for Gottes|god zu|into bestätigen|confirm die|the Verheißungen|promise den|the Vätern|Father geschehen|happened
15:9	daß|that die|the Heiden|Gentiles aber|and Gott|god loben|glorify um|for der|the Barmherzigkeit|mercy willen|for wie|as geschrieben|[geschrieben] steht|write “|[“] Darum|this will|confess ich|I dich|thee loben|confess unter|by den|the Heiden|Gentiles und|also deinem|thy Namen|name singen|sing ”|[”]
15:10	Und|also abermals|again spricht|it-is-said er|speak “Freut|[“Freut] euch|rejoice ihr|you Heiden|Gentiles mit|with seinem|his Volk|people ”|[”]
15:11	Und|also abermals|again “|[“] Lobt|[Lobt] den|the HERRN|Lord alle|all Heiden|Gentiles und|also preiset|praise ihn|him alle|all Völker|people ”|[”]
15:12	Und|also abermals|again spricht|speak Jesaja|Esaias “Es|[“Es] wird|will sein|be die|the Wurzel|root Jesse|[Jesse] s|Jesse und|also der|the auferstehen|[auferstehen] wird|will zu|to herrschen|rule über|over die|the Heiden|Gentiles auf|on den|the werden|trust die|the Heiden|Gentiles hoffen|trust ”|[”]
15:13	Der|the Gott|god aber|and der|the Hoffnung|hope erfülle|fulfil euch|you mit|with aller|all Freude|joy und|also Frieden|peace im|by Glauben|believe daß|into ihr|you völlige|abound Hoffnung|hope habet|abound durch|by die|the Kraft|power des|of-the heiligen|[heiligen] Geistes|Spirit
15:14	Ich|I weiß|persuade aber|and gar|also wohl|persuade von|of euch|your liebe|my Brüder|brothers daß|that ihr|you selber|[selber] voll|full Gütigkeit|[Gütigkeit] seid|are erfüllt|fulfil mit|all Erkenntnis|knowledge daß|that ihr|you euch|you untereinander|to-one-another könnet|able ermahnen|warn
15:15	Ich|I habe|have es|it aber|and dennoch|[dennoch] gewagt|durst und|and euch|you etwas|part wollen|will schreiben|write liebe|my Brüder|brothers euch|you zu|to erinnern|put in mind um|by der|the Gnade|grace willen|by die|the mir|me von|of Gott|god gegeben|given ist|give
15:16	daß|that ich|me soll|shall sein|into ein|a Diener|minister Christi|Christ unter|into den|the Heiden|Gentiles priesterlich|minister zu|to warten|[warten] des|of-the Evangeliums|gospel Gottes|god auf|on daß|that die|the Heiden|Gentiles ein|a Opfer|offering werden|offering Gott|God angenehm|accepted geheiligt|[geheiligt] durch|by den|the heiligen|[heiligen] Geist|Spirit
15:17	Darum|therefore kann|have ich|I mich|me rühmen|boasting in|by Jesus|Jesus Christo|Christ daß|that ich|I Gott|god diene|unto
15:18	Denn|and ich|I wollte|durst nicht|no wagen|durst etwas|certain zu|to reden|speak wo|where dasselbe|which Christus|Christ nicht|no durch|by mich|me wirkte|work die|the Heiden|Gentiles zum|as-a Gehorsam|obedience zu|to bringen|into durch|through Wort|word und|also Werk|work
15:19	durch|by Kraft|power der|the Zeichen|sign und|also Wunder|wonder und|and durch|by Kraft|power des|of-the Geistes|Spirit Gottes|god also|wherefore daß|that ich|me von|from Jerusalem|Jerusalem an|to und|also umher|round bis|unto Illyrien|Illyricum alles|fulfil mit|with dem|the Evangelium|gospel Christi|Christ erfüllt|fill habe|fulfil
15:20	und|and mich|me sonderlich|[sonderlich] geflissen|strive das|the Evangelium|[Evangelium] zu|to predigen|preach wo|where Christi|Christ Name|name nicht|no bekannt|[bekannt] war|was auf|on daß|that ich|I nicht|lest auf|on einen|a fremden|foreigners Grund|foundation baute|build
15:21	sondern|but wie|as geschrieben|[geschrieben] steht|write “|[“] Welchen|which ist|is nicht|no von|of ihm|him verkündigt|reveals die|the sollen|shall s|[s] sehen|see und|also welche|which nicht|no gehört|heard haben|have sollen|shall s|[s] verstehen|understand ”|[”]
15:22	Das|the ist|is auch|also die|the Ursache|wherefore warum|why ich|I vielmal|many verhindert|[verhindert] worden|hinder zu|unto euch|you zu|to kommen|come
15:23	Nun|now ich|I aber|and nicht|not mehr|no Raum|place habe|have in|by diesen|this Ländern|region habe|have aber|and Verlangen|great desire zu|unto euch|you zu|to kommen|come von|from vielen|many Jahren|year her|here
15:24	so|then will|come ich|I zu|unto euch|you kommen|come wenn|as ich|I reisen|go werde|go nach|into Spanien|Spain Denn|and ich|I hoffe|trust daß|that ich|I da|then durchreisen|go through und|and euch|you sehen|see werde|will und|also von|of euch|your dorthin|there geleitet|sent-off werden|be möge|accompany so|if doch|please daß|that ich|I zuvor|first mich|me ein|a wenig|part an|to euch|your ergötze|fill
15:25	Nun|now aber|and fahre|[fahre] ich|I hin|go gen|into Jerusalem|Jerusalem den|the Heiligen|[Heiligen] zu|to Dienst|serve
15:26	Denn|and die|please aus|from Mazedonien|Macedonia und|also Achaja|[Achaja] haben|do willig|[willig] eine|a gemeinsame|certain Steuer|fellowship zusammengelegt|do den|the armen|poor Heiligen|[Heiligen] zu|by Jerusalem|Jerusalem
15:27	Sie|they haben|have s|please willig|and getan|please und|also sind|are auch|also ihre|their Schuldner|debtor Denn|and so|if die|the Heiden|Gentiles sind|communicate ihrer|their geistlichen|[geistlichen] Güter|spiritual teilhaftig|[teilhaftig] geworden|communicate ist|is s|[s] billig|ought daß|that sie|they ihnen|them auch|also in|by leiblichen|[leiblichen] Gütern|carnal Dienst|service beweisen|minister
15:28	Wenn|when ich|I nun|therefore solches|this ausgerichtet|perform und|also ihnen|them diese|this Frucht|fruit versiegelt|[versiegelt] habe|seal will|will ich|I durch|by euch|your nach|into Spanien|Spain ziehen|go
15:29	Ich|I weiß|know aber|and wenn|when ich|I zu|unto euch|you komme|come daß|that ich|I mit|by vollem|fulness Segen|blessing des|of-the Evangeliums|gospel Christi|Christ kommen|come werde|come
15:30	Ich|I ermahne|beseech euch|you aber|and liebe|my Brüder|brothers durch|by unsern|our HERRN|Lord Jesus|Jesus Christus|Christ und|also durch|by die|the Liebe|my des|of-the Geistes|Spirit daß|that ihr|you helfet|[helfet] kämpfen|strive together with mit|by Beten|prayer für|for mich|me zu|unto Gott|god
15:31	auf|on daß|that ich|I errettet|[errettet] werde|deliver von|from den|the Ungläubigen|[Ungläubigen] in|by Judäa|Judaea und|also daß|that mein|my Dienst|ministry den|which ich|I für|into Jerusalem|Jerusalem tue|do angenehm|accepted werde|be den|the Heiligen|[Heiligen]
15:32	auf|on daß|that ich|I mit|by Freuden|joy zu|unto euch|you komme|come durch|by den|the Willen|will Gottes|god und|also mich|me mit|with euch|you erquicke|refreshwith
15:33	Der|the Gott|god aber|and des|of-the Friedens|peace sei|be mit|with euch|your allen|all Amen|[Amen]
16:1	Ich|I befehle|commend euch|you aber|and unsere|our Schwester|sister Phöbe|Phebe welche|which ist|being im|in-the Dienste|minister der|the Gemeinde|church zu|by Kenchreä|Cenchrea
16:2	daß|that ihr|you sie|they aufnehmet|receive in|by dem|the HERRN|Lord wie|as sich|himself s|[s] ziemt|[ziemt] den|the Heiligen|[Heiligen] und|also tut|present ihr|you Beistand|present in|by allem|which Geschäfte|thing darin|in-it sie|they euer|your bedarf|need denn|and sie|this hat|be auch|also vielen|many Beistand|succourer getan|be auch|also mir|me selbst|itself
16:3	Grüßt|[Grüßt] die|the Priscilla|Priscilla und|also den|the Aquila|[Aquila] meine|my Gehilfen|fellowlabourer in|by Christo|Christ Jesu|Jesus
16:4	welche|which haben|lay down für|for mein|my Leben|soul ihren|himself Hals|neck dargegeben|lay down welchen|which nicht|no allein|only ich|I danke|thank sondern|but alle|all Gemeinden|church unter|under den|the Heiden|Gentiles
16:5	Auch|also grüßet|[grüßet] die|the Gemeinde|church in|after ihrem|her Hause|house Grüßet|[Grüßet] Epänetus|Epaenetus meinen|my Lieben|[Lieben] welcher|which ist|is der|the Erstling|firstfruit unter|under denen|them aus|from Achaja|[Achaja] in|into Christo|Christ
16:6	Grüßet|[Grüßet] Maria|Mary welche|which viel|many Mühe|work und|and Arbeit|labour mit|into uns|us gehabt|had hat|labour
16:7	Grüßet|[Grüßet] den|the Andronikus|[Andronikus] und|also den|the Junias|Junia meine|my Gefreundeten|kinsman und|also meine|my Mitgefangenen|fellowprisoner welche|which sind|are berühmte|notable Apostel|[Apostel] und|also vor|before mir|me gewesen|be in|by Christo|Christ
16:8	Grüßet|[Grüßet] Amplias|[Amplias] meinen|my Lieben|[Lieben] in|by dem|the HERRN|Lord
16:9	Grüßet|[Grüßet] Urban|Urbane unsern|our Gehilfen|fellowlabourer in|by Christo|Christ und|also Stachys|Stachys meinen|my Lieben|[Lieben]
16:10	Grüßet|[Grüßet] Apelles|[Apelles] den|the Bewährten|approved in|by Christo|Christ Grüßet|[Grüßet] die|which da|then sind|are von|of des|of-the Aristobulus|[Aristobulus] Gesinde|household
16:11	Grüßet|[Grüßet] Herodian|Herodian meinen|my Gefreundeten|kinsman Grüßet|[Grüßet] die|which da|then sind|being von|of des|of-the Narzissus|Narcissus Gesinde|household in|by dem|the HERRN|Lord
16:12	Grüßet|[Grüßet] die|the Tryphäna|Tryphena und|also die|the Tryphosa|Tryphosa welche|which in|by dem|the HERRN|Lord gearbeitet|[gearbeitet] haben|labour Grüßet|[Grüßet] die|the Persis|Persis meine|my Liebe|my welch|which in|by dem|the HERRN|Lord viel|many gearbeitet|[gearbeitet] hat|labour
16:13	Grüßet|[Grüßet] Rufus|Rufus den|the Auserwählten|elect in|by dem|the HERRN|Lord und|also seine|his und|also meine|me Mutter|mother
16:14	Grüßet|[Grüßet] Asynkritus|[Asynkritus] Phlegon|Phlegon Hermas|Hermas Patrobas|Patrobas Hermes|Mercurius und|also die|the Brüder|brothers bei|with ihnen|them
16:15	Grüßet|[Grüßet] Philologus|Philologus und|also die|the Julia|Julia Nereus|Nereus und|also seine|his Schwester|sister und|also Olympas|Olympas und|also alle|all Heiligen|[Heiligen] bei|with ihnen|them
16:16	Grüßet|[Grüßet] euch|you untereinander|to-one-another mit|by dem|the heiligen|[heiligen] Kuß|kiss Es|it grüßen|[grüßen] euch|you die|the Gemeinden|church Christi|Christ
16:17	Ich|I ermahne|beseech euch|you aber|and liebe|my Brüder|brothers daß|that ihr|you achtet|mark auf|on die|the die|the da|then Zertrennung|division und|also Ärgernis|offence anrichten|do neben|of der|the Lehre|doctrine die|which ihr|ye gelernt|[gelernt] habt|learn und|also weichet|eschew von|from ihnen|them
16:18	Denn|and solche|such dienen|serve nicht|no dem|our HERRN|Lord Jesus|Jesus Christus|Christ sondern|but ihrem|himself Bauche|womb und|also durch|by süße|[süße] Worte|good words und|also prächtige|[prächtige] Reden|blessing verführen|deceive sie|they unschuldige|[unschuldige] Herzen|heart
16:19	Denn|and euer|your Gehorsam|obedience ist|is bei|into jedermann|all kund|[kund] geworden|become Derhalben|therefore freue|rejoice ich|I mich|me über|on euch|you ich|I will|desire aber|and daß|that ihr|you weise|wise seid|desire zum|into Guten|indeed aber|and einfältig|[einfältig] zum|into Bösen|evil
16:20	Aber|and der|the Gott|god des|of-the Friedens|peace zertrete|bruise den|the Satan|Satan unter|of eure|your Füße|foot in|in kurzem|bruise Die|the Gnade|grace unsers|our HERRN|Lord Jesu|Jesus Christi|Christ sei|be mit|with euch|your
16:21	Es|it grüßen|[grüßen] euch|you Timotheus|Timotheus mein|my Gehilfe|fellowlabourer und|also Luzius|Lucius und|also Jason|Jason und|also Sosipater|Sosipater meine|my Gefreundeten|kinsman
16:22	Ich|I Tertius|Tertius grüße|[grüße] euch|you der|the ich|I diesen|this Brief|epistle geschrieben|[geschrieben] habe|write in|by dem|the HERRN|Lord
16:23	Es|it grüßt|[grüßt] euch|you Gajus|Gaius.G  os mein|my und|also der|the ganzen|all Gemeinde|church Wirt|stranger Es|it grüßt|[grüßt] euch|you Erastus|Erastus der|the Stadt|city Rentmeister|steward und|also Quartus|Quartus der|the Bruder|brother
16:24	Die|the Gnade|grace unsers|our HERRN|Lord Jesus|Jesus Christus|Christ sei|be mit|with euch|your allen|all Amen|[Amen]
16:25	Dem|the aber|and der|the euch|you stärken|stablish kann|able laut|after meines|my Evangeliums|gospel und|also der|the Predigt|preaching von|from Jesu|Jesus Christo|Christ durch|after welche|which das|the Geheimnis|mystery offenbart|revealed-himself ist|is das|the von|from der|the Welt|earth her|time verschwiegen|[verschwiegen] gewesen|been ist|keepclose (secret
16:26	nun|now aber|and offenbart|appear auch|and kundgemacht|declare durch|by der|the Propheten|of prophecy Schriften|scripture nach|after Befehl|commandment des|of-the ewigen|everlasting Gottes|god den|the Gehorsam|obedience des|of-the Glaubens|faith aufzurichten|into unter|into allen|all Heiden|Gentiles
16:27	demselben|to-him Gott|god der|the allein|only weise|wise ist|is sei|be Ehre|glory durch|by Jesum|Jesus Christum|Christ in|into Ewigkeit|[Ewigkeit] Amen|[Amen]
